category,metric_name,entries,total_companies,total_years
Social Risk,GENDER_PAY_GAP_PERCENTAGE,5879,2699,0
Social Risk,HUMAN_RIGHTS_VIOLATION_PAI,202104,50493,0
Social Risk,IMPROVEMENT_TOOLS_BUSINESS_ETHICS,35564,23306,0
Social Risk,LOSTWORKINGDAYS,11617,4546,0
Social Risk,POLICY_BOARD_DIVERSITY,44700,14035,0
Social Risk,POLICY_BRIBERYAND_CORRUPTION,48714,23338,0
Social Risk,POLICY_BUSINESS_ETHICS,3923,3472,0
Social Risk,POLICY_CHILD_LABOR,50473,18205,0
Social Risk,POLICY_DATA_PRIVACY,47132,18888,0
Social Risk,POLICY_FORCED_LABOR,43451,17406,0
Social Risk,POLICY_HUMAN_RIGHTS,79633,31651,0
Social Risk,SUPPLY_CHAINHS_POLICY,43742,13818,0
Social Risk,TIRTOTAL,24228,7524,0
Social Risk,TURNOVEREMPLOYEES,25442,7214,0
Uncategorized,BIODIVERSITY_IMPACT_REDUCTION,38755,28220,0
Uncategorized,CLIMATE_CHANGE_RISKS_OPP,39640,15901,0
Uncategorized,ELECTRICITYPURCHASED,297,291,0
Uncategorized,EMS_CERTIFIED_PCT,1757,1715,0
Uncategorized,ENERGYPURCHASEDDIRECT,57,52,0
Uncategorized,ENV_SUPPLY_CHAIN_MGT,51595,14821,0
Uncategorized,E_WASTE_REDUCTION,10382,9657,0
Uncategorized,ORGANIC_PRODUCTS_INITIATIVES,47692,12177,0
