company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_value,nb_points_of_observations,pillar,Industry,year,metric_value_scaled,metric_value_log,standard_metric
Kaleido Biosciences Inc,5051609503,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,142,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
9 Meters Biopharma Inc,5037627414,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,137,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Tricida Inc,5041066023,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,137,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Oyster Point Pharma Inc,5050914678,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,135,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
AMAG Pharmaceuticals Inc,4295903284,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,135,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
AMAG Pharmaceuticals Inc,4295903284,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,135,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Tyme Technologies Inc,5044009440,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,134,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
GW Pharmaceuticals Ltd,4295894440,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,133,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
GW Pharmaceuticals Ltd,4295894440,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,133,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Hitachi High-Tech Corp,4295878681,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,132,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Satsuma Pharmaceuticals Inc,5052544073,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,119,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
PPD Inc,5071172659,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,117,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Five Prime Therapeutics Inc,4296891332,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,113,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
GlaxoSmithKline Consumer Healthcare Ltd,4295872411,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,112,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
PRA Health Sciences Inc,5043464896,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,110,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Kindred Biosciences Inc,5037962380,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,110,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Correvio Pharma Corp,5063766186,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,106,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Correvio Pharma Corp,5063766186,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,106,E_opportunity,Biotechnology & Pharmaceuticals,2019,0.0,0.0,Drug_Safety
Akouos Inc,5059037223,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,103,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Bio-On SpA,5035553307,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,89,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Aspen Pharmacare Holdings Ltd,4295888632,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,434,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Dr Reddy's Laboratories Ltd,4295872868,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,431,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Johnson & Johnson,4295904341,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,423,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Teva Pharmaceutical Industries Ltd,4295875158,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,414,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Novartis AG,4295890628,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,414,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Shionogi & Co Ltd,4295876951,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,414,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Takeda Pharmaceutical Co Ltd,4295877353,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,408,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Shanghai Fosun Pharmaceutical Group Co Ltd,4295863746,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,405,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Astellas Pharma Inc,4295876965,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,403,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Astellas Pharma Inc,4295876965,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,403,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Daiichi Sankyo Co Ltd,4295880584,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,392,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
AstraZeneca PLC,4295894341,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,391,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
ALK-Abello A/S,4295866060,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,391,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Sun Pharmaceutical Industries Ltd,4295873594,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,390,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Aneka Tambang Tbk PT,4295874596,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,388,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Regeneron Pharmaceuticals Inc,4295907752,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,386,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Merck & Co Inc,4295904886,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,385,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Corcept Therapeutics Inc,4295899705,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,384,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Santen Pharmaceutical Co Ltd,4295877908,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,383,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Lonza Group AG,5000030891,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,382,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
CVS Health Corp,4295903627,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,1.0,381,E_opportunity,Biotechnology & Pharmaceuticals,2020,4.511698835079361e-05,0.6931471805599453,Drug_Safety
Bayer AG,4295869217,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,381,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Livzon Pharmaceutical Group Inc,4295863969,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,378,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Ipsen SA,4295868520,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,378,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
GSK plc,4295895781,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,376,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
China Shineway Pharmaceutical Group Ltd,4295872000,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,376,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Aurobindo Pharma Ltd,4295872481,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,376,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Novo Nordisk A/S,4295865996,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,1.0,373,E_opportunity,Biotechnology & Pharmaceuticals,2020,4.511698835079361e-05,0.6931471805599453,Drug_Safety
Biocon Ltd,4295873833,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,372,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Biocon Ltd,4295873833,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,372,E_opportunity,Biotechnology & Pharmaceuticals,2021,0.0,0.0,Drug_Safety
Glenmark Pharmaceuticals Ltd,4295873669,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,371,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Perrigo Company PLC,5040203322,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,371,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Siegfried Holding AG,5000066884,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,371,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
China Traditional Chinese Medicine Holdings Co Ltd,4295871008,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,370,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Eisai Co Ltd,4295876894,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,370,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
Charles River Laboratories International Inc,4295900986,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,368,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
CSPC Pharmaceutical Group Ltd,4295870962,quantitative,REPORTED,Does the company reports about take-back procedures and recycling programs to reduce the potential risks of products entering the environment?,TAKEBACK_RECYCLING_INITIATIVES,0.0,368,E_opportunity,Biotechnology & Pharmaceuticals,2020,0.0,0.0,Drug_Safety
