company_name,perm_id,data_type,disclosure,metric_description,metric_name,metric_unit,metric_value,nb_points_of_observations,pillar,Industry,year,metric_value_scaled,metric_value_log
Immunome Inc,5000458922,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,88,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Annovis Bio Inc,4298077608,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,87,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
PepGen Inc,5079227040,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,86,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Immunotech Biopharm Ltd,5064592404,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,61,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Immunotech Biopharm Ltd,5064592404,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,61,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Scopus Biopharma Inc,5070506983,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,44,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Scopus Biopharma Inc,5070506983,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,44,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Scopus Biopharma Inc,5070506983,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,44,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Scopus Biopharma Inc,5070506983,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,44,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Humacyte Inc,5076355554,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,42,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Accenture SAS,4298161238,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,16,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
SK Biopharmaceuticals Co Ltd,5036772845,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,246,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
SK Biopharmaceuticals Co Ltd,5036772845,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,246,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Akeso Inc,5004716215,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,243,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Akeso Inc,5004716215,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,243,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
United Company RUSAL Plc,5000619007,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,242,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Certara Inc,5078554280,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,239,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Certara Inc,5078554280,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,239,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Certara Inc,5078554280,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,239,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
RaySearch Laboratories AB (publ),4295889885,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,239,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Certara Inc,5078554280,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,239,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
RaySearch Laboratories AB (publ),4295889885,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,239,S_risk,Biotechnology & Pharmaceuticals,2020,0.4,0.6931471805599453
Immunitybio Inc,5046045471,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,239,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Certara Inc,5078554280,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,239,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Rapid Nutrition PLC,5042944492,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,236,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Rapid Nutrition PLC,5042944492,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,236,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Rapid Nutrition PLC,5042944492,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,236,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Rapid Nutrition PLC,5042944492,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,236,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
ASKA Pharmaceutical Holdings Co Ltd,5073682929,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,234,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
ASKA Pharmaceutical Holdings Co Ltd,5073682929,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,234,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
ASKA Pharmaceutical Holdings Co Ltd,5073682929,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,234,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Zhejiang Jiuzhou Pharmaceutical Co Ltd,4298151119,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,231,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Zhejiang Jiuzhou Pharmaceutical Co Ltd,4298151119,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,231,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Zhejiang Jiuzhou Pharmaceutical Co Ltd,4298151119,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,231,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Zhejiang Jiuzhou Pharmaceutical Co Ltd,4298151119,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,231,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
HLS Therapeutics Inc,5062411003,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,229,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
VIVA Biotech Holdings,5064663384,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,227,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
VIVA Biotech Holdings,5064663384,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,227,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
VIVA Biotech Holdings,5064663384,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,227,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
VIVA Biotech Holdings,5064663384,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,227,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
PharmaEngine Inc,5035255012,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,217,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
PharmaEngine Inc,5035255012,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,217,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Grand Pharmaceutical Group Ltd,4295871045,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,217,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
PharmaEngine Inc,5035255012,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,217,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
PharmaEngine Inc,5035255012,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,217,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Procter & Gamble Hygiene and Health Care Ltd,4295872700,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,216,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Procter & Gamble Hygiene and Health Care Ltd,4295872700,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,216,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Procter & Gamble Hygiene and Health Care Ltd,4295872700,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,216,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Procter & Gamble Hygiene and Health Care Ltd,4295872700,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,216,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Vaxcyte Inc,5040942643,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,215,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Vaxcyte Inc,5040942643,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,215,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Vaxcyte Inc,5040942643,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,215,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Vaxcyte Inc,5040942643,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,215,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Vaxcyte Inc,5040942643,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,215,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Neuland Laboratories Ltd,4295872314,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,214,S_risk,Biotechnology & Pharmaceuticals,2024,0.4,0.6931471805599453
Shanghai Junshi Biosciences Co Ltd,5044196366,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,213,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Shanghai Junshi Biosciences Co Ltd,5044196366,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,213,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Summit Therapeutics Inc,5076940644,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,212,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Summit Therapeutics Inc,5076940644,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,212,S_risk,Biotechnology & Pharmaceuticals,2021,0.4,0.6931471805599453
Shandong Xinhua Pharmaceutical Co Ltd,4295864184,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,209,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Ascentage Pharma Group International,5071509965,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,206,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Ascentage Pharma Group International,5071509965,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,206,S_risk,Biotechnology & Pharmaceuticals,2022,0.4,0.6931471805599453
Sun Pharma Advanced Research Co Ltd,4295872154,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2023,0.0,0.0
Sun Pharma Advanced Research Co Ltd,4295872154,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Sun Pharma Advanced Research Co Ltd,4295872154,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2024,0.0,0.0
Sun Pharma Advanced Research Co Ltd,4295872154,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Sun Pharma Advanced Research Co Ltd,4295872154,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Sun Pharma Advanced Research Co Ltd,4295872154,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,205,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Silence Therapeutics PLC,4295895614,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,204,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Silence Therapeutics PLC,4295895614,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,204,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Silence Therapeutics PLC,4295895614,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,1.0,204,S_risk,Biotechnology & Pharmaceuticals,2023,0.4,0.6931471805599453
Hofseth Biocare ASA,5035906262,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,204,S_risk,Biotechnology & Pharmaceuticals,2020,0.0,0.0
Hofseth Biocare ASA,5035906262,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,204,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
Hofseth Biocare ASA,5035906262,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,204,S_risk,Biotechnology & Pharmaceuticals,2021,0.0,0.0
Kuros Biosciences AG,4295890889,int,REPORTED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,203,S_risk,Biotechnology & Pharmaceuticals,2023,0.0,0.0
Kuros Biosciences AG,4295890889,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,203,S_risk,Biotechnology & Pharmaceuticals,2022,0.0,0.0
Kuros Biosciences AG,4295890889,int,CALCULATED,Does the company have a policy regarding the gender diversity of its board?,POLICY_BOARD_DIVERSITY,Yes/No,0.0,203,S_risk,Biotechnology & Pharmaceuticals,2019,0.0,0.0
